id,external_id,name,email,country,balance,score,is_active,signed_up_at,notes
1,9007199254740994,Zoë Müller,user1@example.test,PT,0.01,0.14285714285714285,true,2024-01-02T02:00:01+02:00,
2,9007199254740995,Ada Lovelace,user2@example.test,BR,0.02,0.2857142857142857,true,2024-01-03T02:00:02+02:00,
3,9007199254740996,山田 太郎,user3@example.test,ZA,0.03,0.42857142857142855,false,2024-01-04T02:00:03+02:00,
4,9007199254740997,"Smith ""Skip"" Jones",user4@example.test,KE,0.04,0.5714285714285714,true,2024-01-05T02:00:04+02:00,
5,9007199254740998,Ana Sofia,user5@example.test,US,0.05,0.7142857142857143,true,2024-01-06T02:00:05+02:00,
6,9007199254740999,Customer 6,user6@example.test,DE,0.06,0.8571428571428571,false,2024-01-07T02:00:06+02:00,
7,9007199254741000,"O'Brien, Sinead",user7@example.test,JP,0.07,1,true,2024-01-08T02:00:07+02:00,
8,9007199254741001,Zoë Müller,user8@example.test,MZ,0.08,1.1428571428571428,true,2024-01-09T02:00:08+02:00,
9,9007199254741002,Ada Lovelace,user9@example.test,PT,0.09,1.2857142857142858,false,2024-01-10T02:00:09+02:00,
10,9007199254741003,山田 太郎,user10@example.test,BR,0.10,1.4285714285714286,true,2024-01-11T02:00:10+02:00,
11,9007199254741004,"Smith ""Skip"" Jones",,ZA,0.11,1.5714285714285714,true,2024-01-12T02:00:11+02:00,
12,9007199254741005,Ana Sofia,user12@example.test,KE,0.12,1.7142857142857142,false,2024-01-13T02:00:12+02:00,
13,9007199254741006,Customer 13,user13@example.test,US,-0.13,1.8571428571428572,true,2024-01-14T02:00:13+02:00,
14,9007199254741007,"O'Brien, Sinead",user14@example.test,DE,0.14,2,true,2024-01-15T02:00:14+02:00,
15,9007199254741008,Zoë Müller,user15@example.test,JP,0.15,2.142857142857143,false,2024-01-16T02:00:15+02:00,
16,9007199254741009,Ada Lovelace,user16@example.test,MZ,0.16,2.2857142857142856,true,2024-01-17T02:00:16+02:00,
17,9007199254741010,山田 太郎,user17@example.test,PT,0.17,,true,2024-01-18T02:00:17+02:00,
18,9007199254741011,"Smith ""Skip"" Jones",user18@example.test,BR,0.18,2.5714285714285716,false,2024-01-19T02:00:18+02:00,
19,9007199254741012,Ana Sofia,user19@example.test,ZA,0.19,2.7142857142857144,true,2024-01-20T02:00:19+02:00,
20,9007199254741013,Customer 20,user20@example.test,KE,0.20,2.857142857142857,true,2024-01-21T02:00:20+02:00,
21,9007199254741014,"O'Brien, Sinead",user21@example.test,US,0.21,3,false,2024-01-22T02:00:21+02:00,
